Experiment,Minute,Event,Chamber,Event Text,A,B,Condition
3,157.77,,,,156.7386,162.8114,
3,157.8,,,,156.763,162.8345,
3,157.83,,,,156.78,162.8434,
3,157.87,,,,156.7861,162.8845,
3,157.9,,,,156.8067,162.896,
3,157.93,,,,156.8055,162.9319,
3,157.97,,,,156.8067,162.9589,
3,158,,,,156.8517,162.9665,
3,158.03,,,,156.9016,162.9973,
3,158.07,,,,156.9113,163.0166,
3,158.1,,,,156.9271,163.0602,
3,158.13,,,,156.9393,163.1025,
3,158.17,,,,156.9429,163.1294,
3,158.2,,,,156.949,163.1576,
3,158.23,,,,156.9818,163.1909,
3,158.27,,,,156.9952,163.2127,
3,158.3,,,,156.9879,163.1986,
3,158.33,,,,156.9989,163.2486,
3,158.37,,,,157.0183,163.3012,
3,158.4,,,,157.0329,163.2987,
3,158.43,,,,157.0524,163.3076,
3,158.47,,,,157.0536,163.3743,
3,158.5,,,,157.0597,163.4243,
3,158.53,,,,157.0438,163.4436,
3,158.57,,,,157.0633,163.4359,
3,158.6,END,Both,,157.1095,163.473,C1
3,158.63,,,,157.1046,163.5179,
3,158.67,,,,157.1363,163.5282,
3,158.7,,,,157.1618,163.5359,
3,158.73,,,,157.1581,163.6,
3,158.77,,,,157.1703,163.6333,
3,158.8,,,,157.2044,163.6551,
3,158.83,,,,157.225,163.6821,
3,158.87,,,,157.242,163.7051,
3,158.9,,,,157.6543,163.8564,
3,158.93,,,,158.6404,163.8847,
3,158.97,,,,159.781,164.3463,
3,159,,,,160.9873,165.0618,
3,159.03,,,,162.2373,165.7747,
3,159.07,,,,163.4545,166.5749,
3,159.1,,,,164.6474,167.4981,
3,159.13,,,,165.7101,168.5739,
3,159.17,,,,166.6951,169.6972,
3,159.2,,,,167.5791,170.7781,
3,159.23,,,,168.6881,171.7642,
3,159.27,,,,169.7375,172.7118,
3,159.3,,,,170.6896,173.6209,
3,159.33,,,,171.5614,174.4724,
3,159.37,,,,172.3409,175.2764,
3,159.4,,,,173.0875,176.0675,
3,159.43,,,,173.7769,176.842,
3,159.47,,,,174.4287,177.5434,
3,159.5,,,,175.0671,178.2089,
3,159.53,,,,175.6787,178.8513,
3,159.57,,,,176.2624,179.4617,
3,159.6,,,,176.8193,180.058,
3,159.63,,,,177.3446,180.5234,
